id,Raw Material Extraction,Component Manufacturing,Cell & Pack Integration,Electronics Assembler (Tier 2),Retailer,Consumer
1,TerraWorks-HX,ElectroCorp-WM,PowerCorp-ER,ControlTech-VZ,AeroDynamics-FX,ParrotWorks-KP
2,LithoIndustries-DC,AnodeSystems-YT,PowerDynamics-RM,MicroTech-UQ,MarketLabs-FK,DJICorp-YH
3,LithoTech-NL,AnodeSystems-YT,PowerDynamics-RM,CircuitIndustries-JG,MarketLabs-FK,AgriDroneLabs-RA
4,LithoTech-NL,SeparatorCorp-QZ,PowerDynamics-RM,CircuitCorp-CG,AeroIndustries-CG,SkydioIndustries-YJ
5,GraphenSystems-UJ,AnodeSystems-YT,VoltIndustries-IO,CircuitCorp-CG,MarketLabs-CH,AgriDroneDynamics-KX
6,LithoTech-NL,AnodeSystems-YT,VoltIndustries-IO,CircuitCorp-CG,AeroDynamics-FX,SkydioIndustries-YJ
7,LithoLabs-PD,SeparatorCorp-QZ,EnergySystems-YK,ControlSolutions-BQ,AeroTech-WS,SkydioIndustries-YJ
8,TerraDynamics-OR,ElectroTech-VF,FusionSolutions-OT,ControlTech-VZ,MarketLabs-CH,HobbyFlySolutions-SY
9,LithoLabs-PD,CathodeSolutions-ZZ,PowerDynamics-RM,ControlTech-VZ,MarketLabs-FK,HobbyFlySolutions-SY
10,LithoLabs-PD,AnodeSystems-YT,EnergySystems-YK,ControlCorp-DT,AeroDynamics-FX,ParrotDynamics-NI
11,LithoLabs-PD,SeparatorSolutions-NZ,VoltIndustries-IO,ControlSolutions-BQ,AeroTech-WS,ParrotDynamics-RJ
12,LithoTech-NL,ElectroTech-VF,EnergySystems-YK,CircuitIndustries-JG,MarketSolutions-LT,DJICorp-YH
13,LithoIndustries-DC,AnodeSystems-YT,PowerCorp-ER,CircuitIndustries-JG,MarketLabs-CH,ParrotWorks-KP
14,MineCoreSolutions-NQ,AnodeSystems-YT,FusionIndustries-YO,ControlSolutions-BQ,MarketLabs-FK,HobbyFlySolutions-SY
15,TerraDynamics-OR,NanoWorks-WX,FusionIndustries-YO,MicroTech-UQ,SkyShopCorp-QN,ParrotDynamics-NI
16,LithoLabs-PD,ElectroTech-VF,FusionIndustries-YO,CircuitCorp-CG,MarketSolutions-LT,ParrotDynamics-NI
17,TerraWorks-CR,SeparatorSolutions-NZ,PowerDynamics-RM,CircuitCorp-CG,MarketSolutions-LT,ParrotWorks-KP
18,MineCoreSolutions-NQ,ElectroTech-VF,FusionIndustries-YO,CircuitIndustries-JG,MarketSolutions-LT,ParrotWorks-KP
19,LithoLabs-PD,ElectroCorp-WM,PowerCorp-ER,CircuitCorp-CG,MarketSolutions-LT,SkydioIndustries-YJ
20,LithoTech-NL,NanoWorks-WX,EnergySystems-YK,EmbedIndustries-GV,MarketSolutions-LT,AgriDroneDynamics-KX
21,MineCoreSolutions-NQ,NanoWorks-WX,PowerCorp-ER,EmbedCorp-RN,MarketSolutions-LT,SkydioIndustries-YJ
22,LithoTech-NL,SeparatorCorp-QZ,PowerLabs-WM,ControlTech-VZ,SkyShopCorp-QN,ParrotWorks-KP
23,TerraDynamics-OR,AnodeSystems-YT,PowerDynamics-RM,ControlTech-VZ,MarketSolutions-LT,SkydioIndustries-YJ
24,LithoLabs-PD,AnodeSystems-YT,FusionIndustries-YO,CircuitIndustries-JG,AeroTech-WS,ParrotWorks-KP
25,LithoTech-NL,CathodeSolutions-ZZ,PowerDynamics-RM,CircuitIndustries-JG,MarketDynamics-FQ,SkydioIndustries-YJ
26,LithoLabs-PD,CathodeSolutions-ZZ,PowerSolutions-TA,MicroTech-UQ,MarketSolutions-LT,ParrotDynamics-NI
27,LithoTech-NL,AnodeSystems-YT,VoltIndustries-IO,CircuitIndustries-JG,MarketLabs-CH,SkydioIndustries-YJ
28,LithoLabs-PD,ElectroCorp-WM,PowerDynamics-RM,CircuitCorp-CG,MarketLabs-FK,SkydioIndustries-YJ
29,LithoIndustries-DC,SeparatorSolutions-NZ,EnergySystems-YK,CircuitCorp-CG,AeroTech-WS,ParrotDynamics-NI
30,TerraWorks-HX,SeparatorSolutions-NZ,FusionSolutions-OT,ControlTech-VZ,SkyShopCorp-QN,SkydioIndustries-YJ
31,LithoIndustries-DC,ElectroTech-VF,PowerDynamics-RM,CircuitCorp-CG,MarketLabs-CH,AgriDroneLabs-RA
32,LithoLabs-PD,SeparatorCorp-QZ,PowerLabs-WM,ControlSolutions-BQ,MarketLabs-FK,DJICorp-YH
33,LithoLabs-PD,ElectroTech-VF,EnergySystems-YK,MicroTech-UQ,MarketLabs-CH,HobbyFlySolutions-SY
34,LithoTech-NL,ElectroTech-VF,EnergySystems-YK,ControlTech-VZ,AeroIndustries-CG,SkydioIndustries-YJ
35,LithoLabs-PD,AnodeSystems-YT,PowerCorp-ER,CircuitCorp-CG,MarketDynamics-FQ,AgriDroneDynamics-KX
36,LithoLabs-PD,CathodeSolutions-ZZ,PowerSolutions-TA,ControlTech-VZ,MarketLabs-CH,ParrotDynamics-NI
37,LithoIndustries-DC,NanoWorks-WX,VoltIndustries-IO,ControlTech-VZ,AeroTech-WS,HobbyFlySolutions-SY
38,LithoIndustries-DC,ElectroTech-VF,PowerCorp-ER,EmbedIndustries-GV,AeroDynamics-FX,ParrotDynamics-NI
39,TerraWorks-HX,AnodeSystems-YT,FusionIndustries-YO,EmbedIndustries-GV,AeroTech-WS,DJICorp-YH
40,MineCoreSolutions-NQ,SeparatorCorp-QZ,EnergySystems-YK,CircuitIndustries-JG,MarketLabs-FK,ParrotWorks-KP
41,LithoTech-NL,SeparatorCorp-QZ,VoltIndustries-IO,CircuitCorp-CG,MarketLabs-FK,ParrotDynamics-NI
42,TerraDynamics-OR,SeparatorSolutions-NZ,FusionIndustries-YO,MicroTech-UQ,MarketLabs-FK,ParrotDynamics-RJ
43,LithoIndustries-DC,ElectroTech-VF,FusionSolutions-OT,CircuitCorp-CG,AeroTech-WS,DJICorp-YH
44,MineCoreSolutions-NQ,ElectroCorp-WM,PowerCorp-ER,CircuitIndustries-JG,MarketLabs-FK,SkydioIndustries-YJ
45,TerraWorks-HX,NanoWorks-WX,PowerCorp-ER,MicroTech-UQ,MarketLabs-FK,ParrotWorks-KP
46,TerraDynamics-OR,AnodeSystems-YT,EnergySystems-YK,MicroTech-UQ,MarketLabs-FK,DJICorp-YH
47,TerraDynamics-OR,SeparatorSolutions-NZ,PowerDynamics-RM,ControlTech-VZ,AeroDynamics-FX,SkydioIndustries-YJ
48,TerraWorks-HX,ElectroCorp-WM,FusionIndustries-YO,ControlTech-VZ,MarketLabs-CH,SkydioIndustries-YJ
49,LithoTech-NL,CathodeSolutions-ZZ,PowerDynamics-RM,ControlSolutions-BQ,SkyShopCorp-QN,ParrotWorks-KP
50,GraphenSystems-UJ,SeparatorSolutions-NZ,PowerCorp-ER,ControlTech-VZ,AeroTech-WS,AgriDroneDynamics-KX
