vehicle_id,chip_id,comp_function,comp_manufacturer,comp_manufact_hq
1,C1-1,Power Management,Texas Instruments,"Dallas, Texas"
1,C1-2,Microcontroller,Microchip Technology,"Chandler, Arizona"
1,C1-3,Microcontroller,ST Microelectronics,Switzerland
1,C1-4,Microcontroller,Renesas Electronics,"Tokyo, Japan"
1,C1-5,Voltage Regulator,Texas Instruments,"Dallas, Texas"
1,C1-6,Transistor,ON Semiconductor,"Scottsdale, Arizona"
1,C1-8,Analog Multiplexer,Texas Instruments,"Dallas, Texas"
1,C2-1-1,Flash Memory,Micron,"Boise, Idaho"
1,C2-1-2,Power Management,Qualcomm,"San Diego, California"
1,C2-1-5,Power Amplifier,Skyworks Solutions,"Irvine, California"
1,C2-1-6,Power Amplifier,Skyworks Solutions,"Irvine, California"
1,C2-1-7,Power Amplifier,Skyworks Solutions,"Irvine, California"
1,C2-1-8,Power Amplifier,Skyworks Solutions,"Irvine, California"
1,C2-1-9,Power Amplifier,Skyworks Solutions,"Irvine, California"
1,C2-3,GNSS Receiver,Furuno,"Nishinomiya, Japan"
1,C2-4,Flash Memory,Winbond Electronics,"Taichung, Taiwan"
1,C2-5,Audio Amplifier,Texas Instruments,"Dallas, Texas"
1,C2-6,Voltage Converter,Texas Instruments,"Dallas, Texas"
1,C2-7,Flash Memory,Spansion,"Sunnyvale, California"
1,C2-8,CAN Transceiver,NXP Semiconductors,"Eindhoven, Netherlands"
1,C2-9,FlexRay Transceiver,NXP Semiconductors,"Eindhoven, Netherlands"
1,C2-10,Transformer,BOURNS,"Riverside, California"
1,C2-11,Ethernet Transceiver,Microchip Technology,"Chandler, Arizona"
1,C2-12,Ethernet Controller,Microchip Technology,"Chandler, Arizona"
1,C2-13,Flash Memory,Micron,"Boise, Idaho"
1,C2-14,Voltage Amplifier,Texas Instruments,"Dallas, Texas"
1,C2-15,NAND Gates,Texas Instruments,"Dallas, Texas"
1,C2-16,Microprocessor,NXP Semiconductors,"Eindhoven, Netherlands"
1,C2-17,SDRAM,Micron,"Boise, Idaho"
